stop_id,stop_name,stop_lat,stop_lon,stop_code
116,Wrzeszcz PKP 05,54.381337233212,18.604111469026,116
120,Oliwa 07,54.40925535602,18.56703671594,120
122,Jelitkowo Kapliczna 03,54.421516773069,18.602044852812,122
124,Zaspa SKM 02,54.389296732771,18.594343533292,124
125,Nowy Port Szaniec Zachodni 02,54.3961220882,18.672855896311,125
129,Chełm Witosa 04,54.337405389479,18.616452461758,129
130,Chełm Cienista 01,54.338305596933,18.627000525137,130
135,Równa 01,54.324194208898,18.640885875548,135
141,Westerplatte 01,54.406055084855,18.677024140573,141
142,Górki Wschodnie 01,54.350375514169,18.793045258084,142
146,Lipuska 01,54.338634257941,18.510838958824,146
147,Bysewo 05,54.37483465504,18.463652463606,147
150,Matemblewo 01,54.366589648054,18.54885345613,150
178,Kiełpino Górne 01,54.341981978272,18.498835021333,178
194,Zakoniczyn 01,54.319806011476,18.577349188006,194
195,Jaworzniaków 01,54.317956542619,18.568538998522,195
205,Siedlce 03,54.348310449541,18.606480227902,205
207,Stogi Plaża 01,54.373179958768,18.728030388821,207
213,Strzyża PKM 03,54.391121840927,18.578169554319,213
321,Żabianka SKM 01,54.421260345395,18.57033355978,321
329,Chełm Witosa 03,54.337674859394,18.617806098623,329
334,Chełm Cienista 03,54.33755323549,18.626228493739,334
390,Łostowice Świętokrzyska 04,54.322625471,18.605988486549,390
1001,Aksamitna 01,54.358470036655,18.652281962771,1001
1014,Dworzec Główny 05,54.355478149075,18.645911377304,1014
1015,Dworzec Główny 14,54.355699622213,18.64528305881,1015
1016,Dworzec Główny 07,54.355270713849,18.645877068456,1016
1021,Dworzec Główny 08,54.356286909273,18.645434156135,1021
1028,Brama Wyżynna 05,54.350662296265,18.646509963532,1028
1037,Żabi Kruk 04,54.346381990196,18.65152485424,1037
1042,Brama Żuławska 03,54.347508531406,18.668818435153,1042
1045,Dickensa 01,54.357386158921,18.690207655627,1045
1048,Wawelska 01,54.330138085316,18.607197784321,1048
1049,Wawelska 02,54.330275661551,18.60688215525,1049
1050,Sucharskiego 03,54.359928546862,18.690588309841,1050
1052,Królowej Bony 01,54.330007453071,18.602883082815,1052
1059,Baza Manipulacyjna 01,54.353799946962,18.757910710213,1059
1061,Łęczycka 01,54.355875402708,18.763661603506,1061
1087,Europejskie Centrum Solidarności 01,54.362913548653,18.65010419137,1087
1089,Siennicka 01,54.357450909271,18.679060364728,1089
1092,Przetoczna 02,54.360637362507,18.672738836611,1092
1099,Brama Żuławska 04,54.347434472646,18.66963819774,1099
1104,Błonia 01,54.351379119498,18.703764286645,1104
1107,Tarcice 02,54.351151388187,18.710702199864,1107
1113,Rejenta 01,54.342348734497,18.605503547853,1113
1114,Zosi 02,54.343513618073,18.611205874125,1114
1122,Ostroroga 01,54.387686206092,18.624227927085,1122
1124,Klonowicza 02,54.386901510814,18.629125229117,1124
1125,Leszczyńskich 03,54.400166926419,18.606172306066,1125
1130,Sobieszewo 01,54.34362509958,18.826256587292,1130
1142,Trałowa - Szkoła 01,54.337109005953,18.910779381631,1142
1149,Przystań 02,54.334434141386,18.933973259963,1149
1153,Uzdrowiskowa 02,54.322267963752,18.931661404146,1153
1155,Świbnieńska III 02,54.314938269641,18.93041478173,1155
1156,Przegalińska 01,54.30988014072,18.925349538656,1156
1158,Benzynowa 01,54.341685766409,18.752800693632,1158
1161,Oczyszczalnia 02,54.342073486329,18.757210645995,1161
1167,Zagroble 02,54.34684526766,18.785340715379,1167
1168,Migdałowa 02,54.341930001463,18.583156207954,1168
1172,Nowa Gdańska 02,54.397111712057,18.634051853112,1172
1185,Gęsia 01,54.330970221505,18.667108708152,1185
1186,Olszynka - Niwki 01,54.335912731663,18.677258977071,1186
1187,Zawodzie 01,54.339321450193,18.686697751368,1187
1188,Maki 01,54.34510509326,18.674709333539,1188
1194,Urząd Wojewódzki / Marszałkowski 01,54.342867787359,18.646032294449,1194
1199,Mostowa 02,54.335220636917,18.649423008252,1199
1202,Brama Oruńska 01,54.339765209451,18.640455531937,1202
1205,Stare Szkoty 02,54.335615179073,18.636031993572,1205
1206,Sandomierska 01,54.332401156719,18.634878157065,1206
1210,Gościnna 01,54.323277507991,18.631726224896,1210
1212,Nowiny 01,54.319240855436,18.630343536826,1212
1216,Ukośna 01,54.31161538581,18.629782518889,1216
1233,Uranowa 01,54.326111061223,18.620397273531,1233
1234,Dom Pomocy Społecznej 01,54.309897959269,18.620180117698,1234
1236,Zaroślak 03,54.341897134381,18.641902758334,1236
1240,Reformacka 01,54.342547105596,18.6305719288,1240
1250,Odrzańska 03,54.345149444042,18.625759794042,1250
1255,Chałubińskiego 04,54.342237295735,18.617126729962,1255
1262,Zakopiańska 04,54.34884692844,18.619052485427,1262
1266,Zielony Stok 01,54.345586205149,18.596067288562,1266
1268,Pagórkowa 01,54.345053618387,18.591451366648,1268
